aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,segment,segment_dur,n_spkrs_clip.st,SpkrType,tds_min.st,ocds_min.st,cds_min.st,ads_min.st,tds_mph.st,ocds_mph.st,cds_mph.st,ads_mph.st
1156,ROW,UK_English,UK_English,British English,F,25,11,2,1,Child,0,0,0,0.008,0,0,0,0.24
1156,ROW,UK_English,UK_English,British English,F,25,11,2,1,Man,0,0.093,0.093,0,0,2.79,2.79,0
1156,ROW,UK_English,UK_English,British English,F,25,11,2,1,Woman,0.472,0,0.472,0.005,14.16,0,14.16,0.15
1156,ROW,UK_English,UK_English,British English,F,25,12,2,0,Child,0,0,0,0,0,0,0,0
1156,ROW,UK_English,UK_English,British English,F,25,12,2,0,Man,0,0,0,0,0,0,0,0
1156,ROW,UK_English,UK_English,British English,F,25,12,2,1,Woman,0.289,0,0.289,0.026,8.67,0,8.67,0.7799999999999999
1156,ROW,UK_English,UK_English,British English,F,25,13,2,1,Child,0,0.016,0.016,0.336,0,0.48,0.48,10.08
1156,ROW,UK_English,UK_English,British English,F,25,13,2,0,Man,0,0,0,0,0,0,0,0
1156,ROW,UK_English,UK_English,British English,F,25,13,2,1,Woman,0,0.741,0.741,0,0,22.23,22.23,0
1156,ROW,UK_English,UK_English,British English,F,25,14,2,0,Child,0,0,0,0,0,0,0,0
1156,ROW,UK_English,UK_English,British English,F,25,14,2,1,Man,0,0,0,0.076,0,0,0,2.28
1156,ROW,UK_English,UK_English,British English,F,25,14,2,1,Woman,0.192,0,0.192,0.071,5.76,0,5.76,2.13
1156,ROW,UK_English,UK_English,British English,F,25,15,2,1,Child,0,0,0,0,0,0,0,0
1156,ROW,UK_English,UK_English,British English,F,25,15,2,0,Man,0,0,0,0,0,0,0,0
